fare_type,fare_condition_type,price,start_zone,mid_zone,end_zone,start_time,end_time
regular,nonpeak,15.75,20,,1,,
regular,nonpeak,17.75,21,,1,,
regular,nonpeak,11.5,31,,1,,
regular,nonpeak,12.75,41,,1,,
regular,nonpeak,13.25,42,,1,,
regular,nonpeak,15.5,51,,1,,
regular,nonpeak,9.5,11,,12,,
regular,nonpeak,3,2,,12,,
regular,nonpeak,13.75,11,,13,,
regular,nonpeak,4.25,2,,13,,
regular,nonpeak,3,12,,13,,
regular,nonpeak,11.25,11,,14,,
regular,nonpeak,5,2,,14,,
regular,nonpeak,4,12,,14,,
regular,nonpeak,3.75,13,,14,,
regular,nonpeak,11.25,11,,15,,
regular,nonpeak,5,2,,15,,
regular,nonpeak,4.75,12,,15,,
regular,nonpeak,3.75,13,,15,,
regular,nonpeak,3.5,14,,15,,
regular,nonpeak,12.5,11,,16,,
regular,nonpeak,6,2,,16,,
regular,nonpeak,6,12,,16,,
regular,nonpeak,5,13,,16,,
regular,nonpeak,4.75,14,,16,,
regular,nonpeak,2.75,15,,16,,
regular,nonpeak,13.5,11,,17,,
regular,nonpeak,7,2,,17,,
regular,nonpeak,7,12,,17,,
regular,nonpeak,6,13,,17,,
regular,nonpeak,5.35,14,,17,,
regular,nonpeak,3.5,15,,17,,
regular,nonpeak,2.75,16,,17,,
regular,nonpeak,14.5,11,,18,,
regular,nonpeak,8.5,2,,18,,
regular,nonpeak,8.5,12,,18,,
regular,nonpeak,7.25,13,,18,,
regular,nonpeak,7,14,,18,,
regular,nonpeak,4.5,15,,18,,
regular,nonpeak,2.75,16,,18,,
regular,nonpeak,2.75,17,,18,,
regular,nonpeak,15.75,11,,19,,
regular,nonpeak,10.25,2,,19,,
regular,nonpeak,10.25,12,,19,,
regular,nonpeak,9,13,,19,,
regular,nonpeak,8.25,14,,19,,
regular,nonpeak,6,15,,19,,
regular,nonpeak,4.5,16,,19,,
regular,nonpeak,3.75,17,,19,,
regular,nonpeak,2.75,18,,19,,
regular,nonpeak,16.75,11,,20,,
regular,nonpeak,11.5,2,,20,,
regular,nonpeak,11.5,12,,20,,
regular,nonpeak,10.25,13,,20,,
regular,nonpeak,9.5,14,,20,,
regular,nonpeak,7.25,15,,20,,
regular,nonpeak,5.75,16,,20,,
regular,nonpeak,4.5,17,,20,,
regular,nonpeak,3.5,18,,20,,
regular,nonpeak,2.75,19,,20,,
regular,nonpeak,18.75,11,,21,,
regular,nonpeak,14,2,,21,,
regular,nonpeak,14,12,,21,,
regular,nonpeak,12.75,13,,21,,
regular,nonpeak,12,14,,21,,
regular,nonpeak,9.75,15,,21,,
regular,nonpeak,8.25,16,,21,,
regular,nonpeak,7,17,,21,,
regular,nonpeak,5.5,18,,21,,
regular,nonpeak,3.75,19,,21,,
regular,nonpeak,3.5,20,,21,,
regular,nonpeak,12.5,11,,31,,
regular,nonpeak,6,2,,31,,
regular,nonpeak,6,12,,31,,
regular,nonpeak,5,13,,31,,
regular,nonpeak,4.75,14,,31,,
regular,nonpeak,2.75,15,,31,,
regular,nonpeak,2.75,16,,31,,
regular,nonpeak,3.5,17,,31,,
regular,nonpeak,4.5,18,,31,,
regular,nonpeak,5.75,19,,31,,
regular,nonpeak,6.25,20,,31,,
regular,nonpeak,8.5,21,,31,,
regular,nonpeak,13.75,11,,41,,
regular,nonpeak,7.5,2,,41,,
regular,nonpeak,7.5,12,,41,,
regular,nonpeak,6.25,13,,41,,
regular,nonpeak,6,14,,41,,
regular,nonpeak,4,15,,41,,
regular,nonpeak,3.5,16,,41,,
regular,nonpeak,2.75,17,,41,,
regular,nonpeak,3.5,18,,41,,
regular,nonpeak,4.5,19,,41,,
regular,nonpeak,5,20,,41,,
regular,nonpeak,7,21,,41,,
regular,nonpeak,4.5,31,,41,,
regular,nonpeak,14.25,11,,42,,
regular,nonpeak,9.75,2,,42,,
regular,nonpeak,8.5,12,,42,,
regular,nonpeak,7.5,13,,42,,
regular,nonpeak,7,14,,42,,
regular,nonpeak,5.25,15,,42,,
regular,nonpeak,4.75,16,,42,,
regular,nonpeak,3.5,17,,42,,
regular,nonpeak,5,18,,42,,
regular,nonpeak,6,19,,42,,
regular,nonpeak,6.25,20,,42,,
regular,nonpeak,9,21,,42,,
regular,nonpeak,5.25,31,,42,,
regular,nonpeak,2.5,41,,42,,
regular,nonpeak,16.5,11,,51,,
regular,nonpeak,12,2,,51,,
regular,nonpeak,11.75,12,,51,,
regular,nonpeak,10.75,13,,51,,
regular,nonpeak,10.5,14,,51,,
regular,nonpeak,8,15,,51,,
regular,nonpeak,6.75,16,,51,,
regular,nonpeak,6,17,,51,,
regular,nonpeak,5,18,,51,,
regular,nonpeak,2.75,19,,51,,
regular,nonpeak,2.75,20,,51,,
regular,nonpeak,6,21,,51,,
regular,nonpeak,8,31,,51,,
regular,nonpeak,7,41,,51,,
regular,nonpeak,9,42,,51,,
regular,peak,11.25,0,,12,,
regular,peak,12.75,0,,13,,
regular,peak,13.75,0,,14,,
regular,peak,13.75,0,,15,,
regular,peak,15.25,0,,16,,
regular,peak,16.5,0,,17,,
regular,peak,18,0,,18,,
regular,peak,19.75,0,,19,,
regular,peak,21,0,,20,,
regular,peak,23.5,0,,21,,
regular,peak,15.25,0,,31,,
regular,peak,17,0,,41,,
regular,peak,17.75,0,,42,,
regular,peak,20.75,0,,51,,
regular,peak,11.25,1,,12,,
regular,peak,12.75,1,,13,,
regular,peak,13.75,1,,14,,
regular,peak,13.75,1,,15,,
regular,peak,15.25,1,,16,,
regular,peak,16.5,1,,17,,
regular,peak,18,1,,18,,
regular,peak,19.75,1,,19,,
regular,peak,21,1,,20,,
regular,peak,23.5,1,,21,,
regular,peak,15.25,1,,31,,
regular,peak,17,1,,41,,
regular,peak,17.75,1,,42,,
regular,peak,20.75,1,,51,,
regular,peak,12.5,12,,11,,
regular,peak,3,12,,2,,
regular,peak,3,12,,12,,
regular,peak,14,13,,11,,
regular,peak,4.25,13,,2,,
regular,peak,3,13,,12,,
regular,peak,3,13,,13,,
regular,peak,15,14,,11,,
regular,peak,5,14,,2,,
regular,peak,4,14,,12,,
regular,peak,3.75,14,,13,,
regular,peak,3,14,,14,,
regular,peak,15,15,,11,,
regular,peak,5,15,,2,,
regular,peak,4.75,15,,12,,
regular,peak,3.75,15,,13,,
regular,peak,3.5,15,,14,,
regular,peak,2.75,15,,15,,
regular,peak,16.5,16,,11,,
regular,peak,6,16,,2,,
regular,peak,6,16,,12,,
regular,peak,5,16,,13,,
regular,peak,4.75,16,,14,,
regular,peak,2.75,16,,15,,
regular,peak,2.75,16,,16,,
regular,peak,17.75,17,,11,,
regular,peak,7,17,,2,,
regular,peak,7,17,,12,,
regular,peak,6,17,,13,,
regular,peak,5.35,17,,14,,
regular,peak,3.5,17,,15,,
regular,peak,2.75,17,,16,,
regular,peak,2.75,17,,17,,
regular,peak,19.25,18,,11,,
regular,peak,8.5,18,,2,,
regular,peak,8.5,18,,12,,
regular,peak,7.25,18,,13,,
regular,peak,7,18,,14,,
regular,peak,4.5,18,,15,,
regular,peak,2.75,18,,16,,
regular,peak,2.75,18,,17,,
regular,peak,2.75,18,,18,,
regular,peak,21,19,,11,,
regular,peak,10.25,19,,2,,
regular,peak,10.25,19,,12,,
regular,peak,9,19,,13,,
regular,peak,8.25,19,,14,,
regular,peak,6,19,,15,,
regular,peak,4.5,19,,16,,
regular,peak,3.75,19,,17,,
regular,peak,2.75,19,,18,,
regular,peak,22.25,20,,11,,
regular,peak,11.5,20,,2,,
regular,peak,11.5,20,,12,,
regular,peak,10.25,20,,13,,
regular,peak,9.5,20,,14,,
regular,peak,7.25,20,,15,,
regular,peak,5.75,20,,16,,
regular,peak,4.5,20,,17,,
regular,peak,3.5,20,,18,,
regular,peak,2.75,20,,19,,
regular,peak,2.75,20,,20,,
regular,peak,24.75,21,,11,,
regular,peak,14,21,,2,,
regular,peak,14,21,,12,,
regular,peak,12.75,21,,13,,
regular,peak,12,21,,14,,
regular,peak,9.75,21,,15,,
regular,peak,8.25,21,,16,,
regular,peak,7,21,,17,,
regular,peak,5.5,21,,18,,
regular,peak,2.75,21,,19,,
regular,peak,3.5,21,,20,,
regular,peak,2.75,21,,21,,
regular,peak,16.5,31,,11,,
regular,peak,6,31,,2,,
regular,peak,6,31,,12,,
regular,peak,5,31,,13,,
regular,peak,4.75,31,,14,,
regular,peak,2.75,31,,15,,
regular,peak,2.75,31,,16,,
regular,peak,3.5,31,,17,,
regular,peak,4.5,31,,18,,
regular,peak,5.75,31,,19,,
regular,peak,6.25,31,,20,,
regular,peak,8.5,31,,21,,
regular,peak,2.75,31,,31,,
regular,peak,18.25,41,,11,,
regular,peak,7.5,41,,2,,
regular,peak,7.5,41,,12,,
regular,peak,6.25,41,,13,,
regular,peak,6,41,,14,,
regular,peak,4,41,,15,,
regular,peak,3.5,41,,16,,
regular,peak,2.75,41,,17,,
regular,peak,3.5,41,,18,,
regular,peak,4.5,41,,19,,
regular,peak,5,41,,20,,
regular,peak,7,41,,21,,
regular,peak,4.5,41,,31,,
regular,peak,2.5,41,,41,,
regular,peak,19,42,,11,,
regular,peak,9.75,42,,2,,
regular,peak,8.5,42,,12,,
regular,peak,7.5,42,,13,,
regular,peak,7,42,,14,,
regular,peak,5.25,42,,15,,
regular,peak,4.25,42,,16,,
regular,peak,3.5,42,,17,,
regular,peak,5,42,,18,,
regular,peak,6,42,,19,,
regular,peak,6.25,42,,20,,
regular,peak,9,42,,21,,
regular,peak,5.25,42,,31,,
regular,peak,2.5,42,,41,,
regular,peak,2.5,42,,42,,
regular,peak,22,51,,11,,
regular,peak,12,51,,2,,
regular,peak,11.75,51,,12,,
regular,peak,10.75,51,,13,,
regular,peak,10.5,51,,14,,
regular,peak,8,51,,15,,
regular,peak,6.75,51,,16,,
regular,peak,6,51,,17,,
regular,peak,5,51,,18,,
regular,peak,2.75,51,,19,,
regular,peak,2.75,51,,20,,
regular,peak,6,51,,21,,
regular,peak,8,51,,31,,
regular,peak,7,51,,41,,
regular,peak,9,51,,42,,
regular,peak,2.5,51,,51,,
regular,peak,11.25,12,,0,,
regular,peak,12.75,13,,0,,
regular,peak,13.75,14,,0,,
regular,peak,13.75,15,,0,,
regular,peak,15.25,16,,0,,
regular,peak,16.5,17,,0,,
regular,peak,18,18,,0,,
regular,peak,19.75,19,,0,,
regular,peak,21,20,,0,,
regular,peak,23.5,21,,0,,
regular,peak,15.25,31,,0,,
regular,peak,17,41,,0,,
regular,peak,17.75,42,,0,,
regular,peak,20.75,51,,0,,
regular,peak,11.25,12,,1,,
regular,peak,12.75,13,,1,,
regular,peak,13.75,14,,1,,
regular,peak,13.75,15,,1,,
regular,peak,15.25,16,,1,,
regular,peak,16.5,17,,1,,
regular,peak,18,18,,1,,
regular,peak,19.75,19,,1,,
regular,peak,21,20,,1,,
regular,peak,23.5,21,,1,,
regular,peak,15.25,31,,1,,
regular,peak,17,41,,1,,
regular,peak,17.75,42,,1,,
regular,peak,20.75,51,,1,,
regular,peak,12.5,11,,12,,
regular,peak,3,2,,12,,
regular,peak,14,11,,13,,
regular,peak,4.25,2,,13,,
regular,peak,3,12,,13,,
regular,peak,15,11,,14,,
regular,peak,5,2,,14,,
regular,peak,4,12,,14,,
regular,peak,3.75,13,,14,,
regular,peak,15,11,,15,,
regular,peak,5,2,,15,,
regular,peak,4.75,12,,15,,
regular,peak,3.75,13,,15,,
regular,peak,3.5,14,,15,,
regular,peak,16.5,11,,16,,
regular,peak,6,2,,16,,
regular,peak,6,12,,16,,
regular,peak,5,13,,16,,
regular,peak,4.75,14,,16,,
regular,peak,2.75,15,,16,,
regular,peak,17.75,11,,17,,
regular,peak,7,2,,17,,
regular,peak,7,12,,17,,
regular,peak,6,13,,17,,
regular,peak,5.35,14,,17,,
regular,peak,3.5,15,,17,,
regular,peak,2.75,16,,17,,
regular,peak,19.25,11,,18,,
regular,peak,8.5,2,,18,,
regular,peak,8.5,12,,18,,
regular,peak,7.25,13,,18,,
regular,peak,7,14,,18,,
regular,peak,4.5,15,,18,,
regular,peak,2.75,16,,18,,
regular,peak,2.75,17,,18,,
regular,peak,21,11,,19,,
regular,peak,10.25,2,,19,,
regular,peak,10.25,12,,19,,
regular,peak,9,13,,19,,
regular,peak,8.25,14,,19,,
regular,peak,6,15,,19,,
regular,peak,4.5,16,,19,,
regular,peak,3.75,17,,19,,
regular,peak,2.75,18,,19,,
regular,peak,22.25,11,,20,,
regular,peak,11.5,2,,20,,
regular,peak,11.5,12,,20,,
regular,peak,10.25,13,,20,,
regular,peak,9.5,14,,20,,
regular,peak,7.25,15,,20,,
regular,peak,5.75,16,,20,,
regular,peak,4.5,17,,20,,
regular,peak,3.5,18,,20,,
regular,peak,2.75,19,,20,,
regular,peak,24.75,11,,21,,
regular,peak,14,2,,21,,
regular,peak,14,12,,21,,
regular,peak,12.75,13,,21,,
regular,peak,12,14,,21,,
regular,peak,9.75,15,,21,,
regular,peak,8.25,16,,21,,
regular,peak,7,17,,21,,
regular,peak,5.5,18,,21,,
regular,peak,2.75,19,,21,,
regular,peak,3.5,20,,21,,
regular,peak,16.5,11,,31,,
regular,peak,6,2,,31,,
regular,peak,6,12,,31,,
regular,peak,5,13,,31,,
regular,peak,4.75,14,,31,,
regular,peak,2.75,15,,31,,
regular,peak,2.75,16,,31,,
regular,peak,3.5,17,,31,,
regular,peak,4.5,18,,31,,
regular,peak,5.75,19,,31,,
regular,peak,6.25,20,,31,,
regular,peak,8.5,21,,31,,
regular,peak,18.25,11,,41,,
regular,peak,7.5,2,,41,,
regular,peak,7.5,12,,41,,
regular,peak,6.25,13,,41,,
regular,peak,6,14,,41,,
regular,peak,4,15,,41,,
regular,peak,3.5,16,,41,,
regular,peak,2.75,17,,41,,
regular,peak,3.5,18,,41,,
regular,peak,4.5,19,,41,,
regular,peak,5,20,,41,,
regular,peak,7,21,,41,,
regular,peak,4.5,31,,41,,
regular,peak,19,11,,42,,
regular,peak,9.75,2,,42,,
regular,peak,8.5,12,,42,,
regular,peak,7.5,13,,42,,
regular,peak,7,14,,42,,
regular,peak,5.25,15,,42,,
regular,peak,4.25,16,,42,,
regular,peak,3.5,17,,42,,
regular,peak,5,18,,42,,
regular,peak,6,19,,42,,
regular,peak,6.25,20,,42,,
regular,peak,9,21,,42,,
regular,peak,5.25,31,,42,,
regular,peak,2.5,41,,42,,
regular,peak,22,11,,51,,
regular,peak,12,2,,51,,
regular,peak,11.75,12,,51,,
regular,peak,10.75,13,,51,,
regular,peak,10.5,14,,51,,
regular,peak,8,15,,51,,
regular,peak,6.75,16,,51,,
regular,peak,6,17,,51,,
regular,peak,5,18,,51,,
regular,peak,2.75,19,,51,,
regular,peak,2.75,20,,51,,
regular,peak,6,21,,51,,
regular,peak,8,31,,51,,
regular,peak,7,41,,51,,
regular,peak,9,42,,51,,