service_id,other_service_id,transfer_type,transfer_duration
nyctSubway,nyctSubway,free,7200
nyctLocalBus,nyctLocalBus,free,7200
mtabcLocalBus,mtabcLocalBus,free,7200
nyctSubway,nyctLocalBus,free,7200
nyctSubway,mtabcLocalBus,free,7200
nyctLocalBus,mtabcLocalBus,free,7200
nyctSubway,nyctExpressBus,free_step_up,7200
nyctSubway,mtabcExpressBus,free_step_up,7200
nyctLocalBus,nyctExpressBus,free_step_up,7200
nyctLocalBus,mtabcExpressBus,free_step_up,7200
mtabcLocalBus,nyctExpressBus,free_step_up,7200
mtabcLocalBus,mtabcExpressBus,free_step_up,7200
lirr,lirr,merge,-1
mnr,mnr,merge,-1
njt,njt,merge,-1